dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416Y,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1982-06-01,-0.0036648926,-0.009183248,-0.010764624,-0.0010248984,-0.020320822,0.020010117,0.003359043,-0.0039499747,0.031012442,0.01197196,0.019646522,0.015879154,0.0011073925,0.03763609,0.008674352,0.019920684,0.019920684,0.020761896,0.031321663,0.03003957,0.030844154,0.01817007,0.020452982,0.026248895,0.01581411,0.011278789,0.015548457,0.015118021,0.015070292,0.015070292,0.008613329,0.014787506,0.004128144,0.0015174602,0.0015174602,-0.00047443097,0.04153824,0.04153824,0.029760996
1982-07-01,-0.0069584055,-0.0071524596,-0.008732706,-0.00045215237,-0.017714696,0.014040818,0.0011368853,-0.0077194087,0.018103506,0.0035968996,0.018034443,0.014083147,0.011283309,0.03663075,0.007398897,0.024953255,0.024953255,0.025379302,0.036870603,0.031365726,0.029739283,0.019443322,0.023748577,0.025542825,0.023808535,0.013712353,0.014927569,0.0163581,0.014384969,0.014384969,0.00965354,0.013843847,0.0038952217,0.0024490596,0.0024490596,-0.0030480018,0.051397197,0.051397197,0.03761334
1982-08-01,-0.0096249655,-0.013424311,-0.012490302,-0.0080365585,-0.023733767,0.008201334,-0.0010679746,-0.008952293,0.014457104,0.0035000208,0.016820826,0.014397025,-0.0045685945,0.024446897,0.0023417752,0.016428879,0.016428879,0.019349525,0.027738374,0.027029408,0.025830826,0.016744995,0.018509217,0.024629138,0.013812453,0.0050554276,0.012510616,0.013421049,0.012615662,0.012615662,0.008281836,0.0060696183,-0.0018282026,-0.0038551642,-0.0038551642,-0.0021566537,0.029857127,0.029857127,0.025919173
1982-09-01,-0.0028977783,-0.01001583,-0.0105821565,-0.004467478,-0.020605242,0.006843681,-0.0037639283,-0.011268936,0.012505774,-0.0011108686,0.00944237,0.00885582,-0.0044128983,0.018670125,-0.0019130931,0.01452339,0.01452339,0.012795427,0.01711089,0.015389823,0.0146521805,0.008200169,0.0073077395,0.015580822,0.003906742,-0.0012395647,0.007731584,0.006259688,0.004940389,0.004940389,-0.0012917242,0.0047363876,-0.003313011,-0.005501487,-0.005501487,-0.003249183,0.022474416,0.022474416,0.02167511
1982-10-01,-0.012857642,-0.020978194,-0.025358407,-0.014909707,-0.03671805,-0.009502961,-0.01764774,-0.024673847,-0.0005588906,-0.012606926,-0.0006820896,-0.00055491924,-0.030180754,-0.01374128,-0.017381556,0.00051061116,0.00051061116,-0.001074053,-0.0036670554,-0.005335641,0.0017690598,-0.0047600744,-0.0033828735,0.011486816,-0.0045037055,-0.013822768,-0.008547407,-0.0076954677,-0.007949422,-0.007949422,-0.011774092,-0.006233936,-0.012087338,-0.014360195,-0.014360195,-0.00498892,0.010092418,0.010092418,0.015510135
1982-11-01,-0.015968645,-0.024123069,-0.030275032,-0.019220365,-0.042876437,-0.016049057,-0.019352926,-0.026417067,-0.0064956066,-0.01708538,-0.011931505,-0.009374142,-0.0344032,-0.024229927,-0.02219687,-0.0017048161,-0.0017048161,-0.0049812696,-0.0144427065,-0.013890937,-0.0091627585,-0.016073322,-0.01070933,0.00029074049,-0.014095774,-0.01827452,-0.01216369,-0.013587201,-0.013905233,-0.013905233,-0.015763495,-0.011932273,-0.016192095,-0.018695699,-0.018695699,-0.0037668082,0.0047813416,0.0047813416,0.009319093
1982-12-01,-0.021064088,-0.029867906,-0.039294306,-0.028625686,-0.051397193,-0.022279046,-0.028112315,-0.035903417,-0.0069446936,-0.018927952,-0.012285711,-0.010345221,-0.049095437,-0.032766476,-0.028661571,-0.007676436,-0.007676436,-0.009015113,-0.025456922,-0.021780184,-0.012019032,-0.020009805,-0.014883423,-0.004883103,-0.019449541,-0.024958823,-0.019304805,-0.01908143,-0.017805278,-0.017805278,-0.018729953,-0.011633957,-0.017536959,-0.019943668,-0.019943668,-0.0033930852,-4.679362e-05,-4.679362e-05,0.007839415
1983-01-01,-0.0131316045,-0.022002488,-0.03386324,-0.0219636,-0.04834411,-0.026007809,-0.024176251,-0.03198473,-0.0075860117,-0.01763182,-0.0054298146,-0.004395008,-0.03741455,-0.010725254,-0.013797536,-0.0057163145,-0.0057163145,-0.0038311298,-0.01658883,-0.008900759,-0.0011578446,-0.010624027,-0.011531677,-0.0002195328,-0.014023418,-0.013913578,-0.008614407,-0.01666066,-0.01330719,-0.01330719,-0.013031472,-0.010465143,-0.011714662,-0.010522538,-0.010522538,-0.001567195,0.006463623,0.006463623,0.011486477
1983-02-01,-0.018507171,-0.028298305,-0.039379053,-0.024128083,-0.044646744,-0.022418577,-0.032444544,-0.039939817,-0.009005977,-0.021713689,-0.0077061947,-0.0073372126,-0.051656652,-0.029572433,-0.027969,-0.0072753904,-0.0072753904,-0.007856412,-0.006547915,-0.0039600334,-0.0010519928,-0.008568192,-0.0031399536,0.0009968106,-0.0153739685,-0.018702826,-0.01142093,-0.011344401,-0.0102357995,-0.0102357995,-0.011716884,-0.0051321224,-0.013013038,-0.015672546,-0.015672546,-0.0072171725,0.0044232686,0.0044232686,0.011330922
1983-03-01,-0.008346508,-0.014975817,-0.024694143,-0.0133240735,-0.031482577,-0.0044074366,-0.010455998,-0.022726236,0.0049564135,-0.005589323,-0.00036317363,-0.0012046099,-0.020351268,0.0025431314,-0.0062555647,0.0025801496,0.0025801496,0.0051588514,0.0051493677,0.006304045,0.0094213905,-0.0045031547,-0.0019748942,0.014702691,-0.0007355721,-0.0012914869,0.0052965395,0.0047644237,0.007444763,0.007444763,0.004469565,0.008285572,0.00065208744,-0.0011952559,-0.0011952559,-0.0016390287,0.021399943,0.021399943,0.020351198
