,77470,76430,76500,76900,161530,161580,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8025,8019,8416Y,8414A,8500A,9981A,0016A,76,0200E,B893,B228,B278
1983-07-29,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0
1983-07-30,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
1983-07-31,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,
1983-08-01,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1984-06-19,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1984-06-20,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1984-07-09,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0
1984-07-10,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0
1984-07-11,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
1984-07-12,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1984-07-13,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1984-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1984-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1984-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1984-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1984-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1984-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1985-06-04,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1985-06-05,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1985-06-06,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1985-08-13,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-14,,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-15,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-16,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-19,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
