dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1993-06-19,0.03536977,0.011028722,0.011028722,0.040287152,0.011028722,0.011028722,0.011028722,0.011028722,0.011028722,0.17667562,0.011028722,0.011028722,0.011028722,0.011028722,0.011028722,0.043921173,0.059120357,0.011028722,0.17538853,0.32083875,0.6109364,1.1414421,0.011028722,0.054972243,0.011028722,0.011028722,0.011028722,0.011028722,0.011028722,0.011028722,0.011028722,0.05744025,0.011028722,0.011028722,0.011028722,0.054802746,0.011028722,0.011028722,0.011028722
1993-06-20,1.5029625,0.0,0.042710453,0.053780153,0.30181742,0.0,0.0,0.0,0.0275895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1863782,0.22006407,0.121817,0.0,0.0,0.022677705,0.08813664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-06-21,3.8368325,2.8958173,-1.8626e-06,0.18369593,11.843032,-1.8626e-06,-1.8626e-06,-1.8626e-06,-1.8626e-06,-1.8626e-06,-1.8626e-06,-1.8626e-06,0.042844564,0.44669774,0.014711171,0.35834125,0.3687199,0.9764228,0.14479086,0.39586237,1.8082597,0.0009182841,-1.8626e-06,0.13259985,-1.8626e-06,2.040347,1.8653667,1.9099486,0.37421662,1.3311095,0.08100271,0.10321289,0.0027567148,-1.8626e-06,-1.8626e-06,2.3731217,5.8775043,5.8775043,5.513258
1993-06-22,15.770195,46.80833,102.59032,15.186197,36.907734,4.1148944,1.333298,0.56916475,0.4440938,0.06341934,-4.47035e-05,-4.47035e-05,20.491837,11.50251,21.885077,1.713064,2.333751,28.43384,-4.47035e-05,0.8073803,0.10756776,0.2041068,-4.47035e-05,2.7171931,-4.47035e-05,-4.47035e-05,-4.47035e-05,-4.47035e-05,2.7898397,1.8721523,9.584353,66.82595,60.853714,6.6905584,12.648292,9.054665,22.175526,22.175526,2.02203
1993-06-23,18.359379,25.02638,62.293633,62.906544,23.117136,49.281334,5.7843957,3.1909904,0.024750829,0.000745058,0.000745058,1.2467484,6.7603106,29.781784,112.875145,2.1258295,1.434727,34.64499,0.000745058,2.4982953,0.6491654,0.000745058,3.1068358,0.000745058,0.000745058,0.000745058,0.000745058,0.000745058,0.20593777,0.4549921,6.7442627,14.500287,0.69748425,29.802437,53.71919,17.26468,14.869362,14.869362,0.000745058
1993-06-24,0.018374994,0.018374994,0.018374994,0.8289198,56.80625,5.029007,11.742895,14.958094,15.110439,0.1838319,0.018374994,0.5670414,0.40695077,6.817179,22.49547,0.20041876,0.45537028,3.3711174,0.027291475,0.018374994,0.09677,0.018374994,0.018374994,0.12716837,0.018374994,0.01977384,0.018374994,0.018374994,0.635445,0.9223037,0.8038003,0.018374994,1.3151579,7.682843,9.784185,1.3691094,0.018374994,0.018374994,0.018374994
1993-06-25,0.02903305,0.02903305,0.02903305,2.7293046,13.754361,0.45376828,0.13997592,0.030057505,0.06342679,0.7126648,0.02903305,0.02903305,0.02903305,0.02903305,0.02903305,0.02903305,0.02903305,0.02903305,0.03230758,0.02903305,0.02903305,0.02903305,0.02903305,1.0054538,0.02903305,0.52952766,0.7213112,0.21694787,3.117969,4.1180673,0.6299839,2.7952638,0.3599897,0.02903305,0.02903305,0.02903305,0.02903305,0.02903305,0.02903305
1993-06-26,3.7253e-06,3.7253e-06,3.7253e-06,0.26047602,3.760651,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,0.8416064,3.7253e-06,3.7253e-06,0.018376857,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,0.07255003,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06,3.7253e-06
1993-06-27,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,0.2316721,8.3819e-05,1.003001,0.6310065,0.037502497,2.9442196,8.3819e-05,8.3819e-05,0.013209879,8.3819e-05,0.044640154,8.3819e-05,8.3819e-05,8.3819e-05,0.3349185,8.3819e-05,0.4464593,8.3819e-05,8.3819e-05,8.3819e-05,0.015869737,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05,8.3819e-05
1993-06-28,0.08413941,0.114820905,0.012237579,0.99511427,4.8818865,1.7149445,0.012237579,0.012237579,1.5413501,0.090286136,0.012237579,0.012237579,0.012237579,0.012237579,0.012237579,0.012237579,0.012237579,0.012237579,0.046452507,0.21564962,0.33313972,0.25686437,0.012237579,0.012237579,0.3497936,0.012237579,0.023642555,0.012237579,0.036802143,0.07362291,0.06747432,2.87932,0.20163134,0.012237579,0.027151778,0.012237579,0.012237579,0.012237579,0.012237579
