time,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-10-28,A,ANW,A,A,A,C,A,A,A,A,NW,NW,ANW,ANW,ANW,NW,NW,ANW,A,A,A,ANW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-10-29,A,AW,ASW,ASW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-10-30,AW,AW,AW,AW,AW,AW,A,A,A,A,A,A,AW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-10-31,A,A,A,A,A,ANW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,ASE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-01,A,A,A,A,A,A,A,A,A,AN,A,A,A,A,A,A,A,A,A,A,A,A,ANE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-01-16,NW,NW,N,N,N,N,C,C,C,C,CNW,CNW,N,N,N,N,N,N,AN,NW,NW,NW,NW,AN,AN,AN,AN,AN,ANW,ANW,ANW,ANW,ANW,ANW,ANW,NW,NW,NW,N
1981-02-01,AE,ANE,ANE,A,A,ANE,ANE,ANE,A,A,A,A,ANE,ANE,ANE,A,A,A,A,A,A,A,A,SE,SE,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-02-17,NE,E,E,E,E,E,E,E,E,E,CE,CE,E,E,E,CE,CE,E,NE,NE,NE,CNE,CE,C,C,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1981-03-05,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,AE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-03-21,AW,ASW,A,A,A,AW,AW,AW,C,C,C,C,AW,AW,AW,AW,AW,AW,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-04-06,C,C,C,C,C,C,C,C,C,C,A,A,C,C,C,C,C,C,C,C,S,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1981-04-22,E,E,E,E,E,ASE,ASE,ASE,ASE,ASE,SE,SE,SE,E,E,SE,SE,SE,C,CE,E,E,SE,C,C,C,CNE,CNE,CE,CE,CE,CE,CE,E,E,CE,CE,CE,CE
1981-05-08,AS,AS,AS,SW,ASW,A,A,A,A,C,ASE,AS,A,A,A,A,A,A,C,C,C,ASE,ASE,C,C,A,A,A,C,C,ASW,ASW,ASW,ASW,ASW,A,A,A,A
1981-05-24,A,A,A,AW,C,C,C,C,A,A,A,A,C,A,C,A,A,A,E,C,C,C,A,AN,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-06-09,A,A,A,A,A,A,A,A,A,A,C,C,A,A,A,A,A,AS,E,C,C,C,C,NE,C,C,C,C,C,C,C,A,A,A,A,A,C,C,C
1981-06-25,C,C,C,C,C,C,A,A,A,A,SE,SE,C,A,C,A,A,A,NE,NE,C,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NE
1981-07-11,N,N,N,N,N,C,C,C,C,C,C,C,C,C,C,N,N,N,E,NE,NE,C,C,E,E,E,NE,NE,ANE,ANE,ANE,ANE,AN,AN,AN,N,N,N,NE
1981-07-27,ANE,AN,AN,AN,AN,N,N,N,N,N,N,N,ANE,ANE,ANE,AN,AN,AN,E,A,A,A,N,SE,SE,E,E,E,E,E,AE,AE,ANE,A,A,A,A,A,ANE
1981-08-12,NE,NE,NE,NE,NE,CNE,CNE,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1981-11-03,A,A,A,A,A,A,A,A,A,AN,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-04,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,AE,AE,A,A,A,A
1981-11-05,A,ANE,ANE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,SE,SE,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-06,NE,NE,NE,NE,NE,NE,NE,NE,C,C,C,C,NE,NE,E,C,C,NE,C,A,A,A,C,A,A,A,A,A,A,A,E,E,E,E,E,A,A,A,A
1981-11-07,NE,NE,NE,NE,NE,CE,CE,CE,C,C,C,C,E,NE,E,CNE,CNE,CNE,A,A,C,C,C,A,A,A,A,A,C,C,C,NE,NE,NE,NE,CNE,C,C,C
1981-11-08,E,E,E,E,E,NE,NE,CNE,CNE,CE,C,C,E,NE,E,CNE,CNE,CNE,C,C,C,C,C,C,C,C,C,C,CE,CE,CE,CE,CE,E,E,CNE,CNE,CNE,CNE
1981-11-09,E,E,E,E,E,NE,NE,NE,NE,NE,N,N,E,NE,E,NE,NE,NE,C,C,C,A,C,C,CSE,CSE,CSE,CSE,SE,SE,SE,E,E,E,E,A,A,A,C
1981-11-10,AE,AE,AE,AE,AE,NE,NE,NE,NE,NE,CNE,CNE,AE,E,AE,NE,NE,NE,A,A,A,A,A,SE,SE,SE,E,E,E,E,E,E,E,E,E,E,E,E,E
1981-11-11,A,A,A,A,A,A,A,A,AN,AN,NE,NE,A,A,A,A,A,A,ASE,A,A,A,ANE,SE,SE,ASE,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-12,N,N,N,C,C,A,A,A,A,A,NW,A,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-13,NE,NE,ANE,ANE,ANE,A,A,A,A,A,C,C,NE,NE,NE,NE,NE,NE,A,A,A,A,A,A,CSE,A,A,A,E,E,E,NE,NE,NE,NE,NE,NE,NE,A
1981-11-14,NE,NE,NE,N,N,CNE,CNE,C,C,C,CNW,CNW,N,N,N,N,N,N,A,A,N,N,N,SE,SE,E,A,A,E,E,E,NE,NE,NE,NE,N,N,N,N
1981-11-15,E,E,NE,NE,NE,NE,CNE,CNE,C,C,C,C,NE,NE,NE,N,N,NE,A,A,A,N,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-16,A,AE,AE,A,AE,NE,CNE,CNE,C,C,CNW,C,NE,NE,AE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-17,A,A,A,A,A,A,ANE,ANE,NE,NE,A,A,A,A,A,A,A,A,ASE,A,A,A,A,ASE,ASE,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-19,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,S,A,ASE,A,A,SE,SE,SE,S,AS,AS,AS,A,A,A,A,A,A,A,A,AS
1981-11-20,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,SE,SE,SE,S,AS,AS,AS,A,A,A,A,A,A,A,A,AS
1981-11-21,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,SE,A,A,A,ASE,ASE,ASE,A,A,A,A,A,A,A,A,A
1981-11-22,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,S,A,A,A,A,AS,AS,AS,A,A,A,A,A,A,A,AS
1981-11-23,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,AS,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-24,AN,AN,A,A,A,AW,AW,AW,AW,AW,A,A,ANW,A,ANW,A,A,ANW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,AN,AN,A,A,A,A
1981-11-25,NE,NE,NE,NE,NE,CNE,CNE,CNE,C,C,CNW,C,N,N,NE,N,N,N,A,A,NW,NW,NW,A,A,A,A,A,NE,NE,NE,NE,NE,NE,NE,N,N,N,N
